MM,MM_ReasonForExclusion,CRJ_after_cleaning,CRJ,CRJ_ReasonForExlcusion,Consensus,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
No,Not peer reviewed ,No,No,Out of scope: Coagulation,1,0,"A Delamarre, C Buche",Master Research Internship,,pdfs.semanticscholar.org,,https://pdfs.semanticscholar.org/eb03/3188d9d04d9368710504c03b323bd30f9b7a.pdf,,258,2020-07-21 11:39:01,PDF,,,0,0,0,2,,"… As artificial intelligence methods had never been used on these kind of curves, various were tested to discover the more effective ones … A study of neonatal sepsis prediction [15] also use machine learning in a clinical decision support …"
No,Out of scope: Cardiac and resp. deterioaration,No,No,Out of scope: Cardiac and respiratory failure,1,0,A El Adi,Deep neural networks to forecast cardiac and respiratory deterioration of intensive care patients,2018,,trepo.tuni.fi,https://trepo.tuni.fi/handle/10024/104957,,588,2020-07-21 11:39:01,,,,0,0,0,1,2,"… 14 2.3 Machine learning … 4 Table 2.2: Respiratory SOFA sub-score table 2.3 Machine learning As early as in 1959, Arthur Samuel defined Machine learning as a ”field of study that gives computers the ability to learn without being explicitly programmed” [9] …"
No,"Perspective, not about sepsis prediction",No,No,Commentary/Editorial/Opinion,1,341,"A Esteva, A Robicquet, B Ramsundar, V Kuleshov…",A guide to deep learning in healthcare,2019,Nature medicine,nature.com,https://www.nature.com/articles/s41591-018-0316-z,"https://scholar.google.com/scholar?cites=2362205634994177223&as_sdt=2005&sciodt=0,5&hl=en",284,2020-07-21 11:39:01,HTML,,,341,341,68,5,1,"… Access provided by. Main. Deep learning 1 , a subfield of machine learning (ML), has seen a dramatic resurgence in the past 6 years, largely driven by increases in computational power and the availability of massive new datasets …"
No,Out of scope: not about sepsis prediction,No,No,Out of scope: Microbiology,1,1,"A Foca, A Quirino, MC Pulicari, L Rametti, G Matera…",Anti-inflammatory effect of procalcitonin on in vitro LPS-stimulated human PBMC,2010,Critical Care,Springer,https://link.springer.com/article/10.1186/cc9130,"https://scholar.google.com/scholar?cites=13477735830168533809&as_sdt=2005&sciodt=0,5&hl=en",543,2020-07-21 11:39:01,,,,1,0.1,0,6,10,"… A LogitBoost algorithm was used to create a machine-learning diagnostic rule in which to predict sepsis outcomes … Using subsets of these biomarkers in the MT-PCR assay, the ROC AUC for sepsis prediction was between 85 and 90 …"
No,Not peer reviewed,No,No,Not peer reviewed,1,1,A Gupta,Developing Clinical Decision Support Systems for Sepsis Prediction Using Temporal and Non-Temporal Machine Learning Methods,2019,,shareok.org,https://shareok.org/handle/11244/323347,"https://scholar.google.com/scholar?cites=7542679548490175819&as_sdt=2005&sciodt=0,5&hl=en",10,2020-07-21 11:39:01,,,,1,1,1,1,1,"In healthcare, diagnostic errors represent the biggest challenge to synthesize accurate treatments. In the United States, patient deaths due to misdiagnoses are estimated at 40,000 to 80,000 per year. It was also found that 30% of the annual healthcare spending was …"
No,Out of scope: mortality,No,No,Out of scope: Mortality risk prediction,1,0,"A Gupta, T Liu, C Crick",Utilizing time series data embedded in electronic health records to develop continuous mortality risk prediction models using hidden Markov models: A sepsis case …,2020,Statistical methods in medical …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0962280220929045,,614,2020-07-21 11:39:01,,,,0,0,0,3,1,Continuous mortality risk monitoring is instrumental to manage a patient's care and to efficiently utilize the limited hospital resources. Due to incompleteness and irregularities of electronic hea...
No,Out of scope: not ICU,No,No,Out of scope: Biomarker discovery,1,4,"A Gupta, T Liu, S Shepherd",Clinical decision support system to assess the risk of sepsis using Tree Augmented Bayesian networks and electronic medical record data,2019,Health Informatics Journal,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/1460458219852872,"https://scholar.google.com/scholar?cites=14861507847363549620&as_sdt=2005&sciodt=0,5&hl=en",496,2020-07-21 11:39:01,,,,4,4,1,3,1,"Early and accurate diagnoses of sepsis enable practitioners to take timely preventive actions. The existing diagnostic criteria suffer from deficiencies, such as triggering false alarms or leaving ..."
No,Out of scope: Mortality,No,No,Out of scope: Mortality prediction and non ICU patients,1,12,"A Gupta, T Liu, S Shepherd…",Using statistical and machine learning methods to evaluate the prognostic accuracy of SIRS and qSOFA,2018,Healthcare informatics …,synapse.koreamed.org,https://synapse.koreamed.org/search.php?where=aview&id=75884&code=1088HIR&vmode=FULL,"https://scholar.google.com/scholar?cites=7637523143248859928&as_sdt=2005&sciodt=0,5&hl=en",190,2020-07-21 11:39:01,HTML,,,12,6,3,4,2,"… Systemic Inflammatory Response Syndrome; Severity of Illness Index; Medical Informatics; Artificial Intelligence … Given the criticality of early sepsis detection and divided opinion of researchers, a … In this paper, combination of statistical and machine learning [9, 10] approaches …"
No,Out of scope: Pediatric,No,No,Neonatal Population,1,0,"A Honoré, D Liu, D Forsberg, K Coste…",Hidden Markov Models for sepsis detection in preterm infants,2020,ICASSP 2020-2020 …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9054635/,,137,2020-07-21 11:39:01,,,,0,0,0,5,1,HIDDEN MARKOV MODELS FOR SEPSIS DETECTION IN PRETERM INFANTS … Use of sequential physiological data for sepsis prediction was recently explored in [9]. The work [9] uses … tion from the data and treat them as a static features for further use of machine learning …
No,Out of scope: Mortality,No,No,Out of scope: Mortality risk prediction,1,0,"A Jazayeri, M Capan, C Yang, F Khoshnevisan…",Network-Based Modeling of Sepsis: Quantification and Evaluation of Simultaneity of Organ Dysfunctions,2019,Proceedings of the 10th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3307339.3342160,,616,2020-07-21 11:39:01,,,,0,0,0,5,1,"… CCS CONCEPTS • Applied computing~Health informatics KEYWORDS Sepsis prediction; Simultaneous dysfunctions; Network modeling ACM Reference format: Ali Jazayeri, Muge Capan, Christopher Yang, Farzaneh Khoshnevisan, Min Chi, Ryan Arnold. 2019 …"
No,Out of scope: Not about sepsis prediction,No,No,Thesis and out of scope,1,5,A Joly,"Exploiting random projections and sparsity with random forests and gradient boosting methods--Application to multi-label and multi-output learning, random forest …",2017,arXiv preprint arXiv:1704.08067,arxiv.org,https://arxiv.org/abs/1704.08067,"https://scholar.google.com/scholar?cites=17360611329176662666&as_sdt=2005&sciodt=0,5&hl=en",622,2020-07-21 11:39:01,,,,5,1.67,5,1,3,"… Joint learn- ing and pruning of decision forests. In Belgian-Dutch Conference On Machine Learning, 2016 … Incremental value of platelet markers to clinical vari- ables for sepsis prediction in intensive care unit patients: a prospective pilot study. 1.2 outline …"
No,Out of scope: Not about sepsis prediction,No,No,Duplicate,1,0,"A Lal, Y Pinevich, O Gajic, V Herasevich, B Pickering",WJCCM,,researchgate.net,,https://www.researchgate.net/profile/Amos_Lal/publication/341943384_Artificial_intelligence_and_computer_simulation_models_in_critical_illness/links/5edaaf9892851c9c5e868f48/Artificial-intelligence-and-computer-simulation-models-in-critical-illness.pdf,,368,2020-07-21 11:39:01,PDF,,,0,0,0,5,,"… Parreco J, Hidalgo A, Parks JJ, Kozol R, Rattan R. Using artificial intelligence to predict … DJ, Guttendorf J, Clermont G, Pinsky MR, Hravnak M. Using Supervised Machine Learning to Classify … G, Kerem Y, Zhou Y, Das R. Multicentre validation of a sepsis prediction algorithm using …"
No,Out of scope: Not about sepsis prediction,No,No,Out of scope: Critical illness,1,0,"A Lal, Y Pinevich, O Gajic, V Herasevich…",Artificial intelligence and computer simulation models in critical illness,2020,World Journal of …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7298588/,,353,2020-07-21 11:39:01,HTML,,,0,0,0,5,1,"… Cham: Springer International Publishing, 2015: 3-11. [Google Scholar]. 4. Deo RC. Machine Learning in Medicine. Circulation. 2015;132:1920–1930. [PMC free article] [PubMed] [Google Scholar]. 5. Mathur P, Burns ML. Artificial Intelligence in Critical Care. Int Anesthesiol Clin …"
No,Insufficient data (abstract),No,No,Insufficient data,1,0,"A Maes, T Van Steenkiste, T Dhaene…",A study of early sepsis detection models based on multivariate medical time series,2019,… on Machine Learning,biblio.ugent.be,https://biblio.ugent.be/publication/8632540/file/8632542.pdf,,45,2020-07-21 11:39:01,PDF,,,0,0,0,4,1,"Sepsis is a life-threatening complication caused by the body's response to an infection. For that reason, it is important to have an accurate method to detect sepsis as early as possible. The features extracted from the used ICU data have missing values and non-uniform …"
No,Out of scope: Not about sepsis prediction,No,No,Duplicate,1,0,"A Mawji, S Akech, P Mwaniki, D Dunsmuir, J Bone…","under-five in Nairobi, Kenya [version 1; peer review: 1 not",2019,,wellcomeopenresearch.org,https://wellcomeopenresearch.org/articles/4-121/v1/pdf?article_uuid=73f84681-a856-4c3f-9971-640f8f13b915,,641,2020-07-21 11:39:01,PDF,,,0,0,0,6,1,"… limited skills in assessing children. External validation is needed before adoption in clinical practice. Keywords sepsis, prediction, risk, model, triage, children, developing countries This article is included in the KEMRI | Wellcome …"
No,Out of scope: Not about sepsis prediction,No,No,Out of scope: Health care,1,2,"A Mawji, S Akech, P Mwaniki…","Derivation and internal validation of a data-driven prediction model to guide frontline health workers in triaging children under-five in Nairobi, Kenya",2019,Wellcome Open …,wellcomeopenresearch.org,https://wellcomeopenresearch.org/articles/4-121,"https://scholar.google.com/scholar?cites=15812477920807391914&as_sdt=2005&sciodt=0,5&hl=en",640,2020-07-21 11:39:01,HTML,,,2,2,1,4,1,"… Keywords. sepsis, prediction, risk, model, triage, children, developing countries. Corresponding Author(s). Alishah Mawji (alishah.mawji5@gmail.com) Mark J. Ansermino (anserminos@yahoo. ca). Close. Corresponding authors: Alishah Mawji, Mark J. Ansermino …"
Yes,,Yes,Yes,,1,41,"A McCoy, R Das","Reducing patient mortality, length of stay and readmissions through machine learning-based sepsis prediction in the emergency department, intensive care unit and …",2017,BMJ open quality,bmjopenquality.bmj.com,https://bmjopenquality.bmj.com/content/6/2/e000158.abstract,"https://scholar.google.com/scholar?cites=14583041010245022448&as_sdt=2005&sciodt=0,5&hl=en",2,2020-07-21 11:39:01,,,,41,13.67,21,2,3,"Introduction Sepsis management is a challenge for hospitals nationwide, as severe sepsis carries high mortality rates and costs the US healthcare system billions of dollars each year. It has been shown that early intervention for patients with severe sepsis and septic shock is …"
No,Out of scope: Not ICU,No,No,Non-ICU population,1,0,"A Michelson, S Yu, A Gupta, AM Lai…",A Machine Learning Approach to Sepsis Prediction in non-Intensive Care Unit Patients,2019,… . CRITICAL CARE: A …,atsjournals.org,https://www.atsjournals.org/doi/pdf/10.1164/ajrccm-conference.2019.199.1_MeetingAbstracts.A7159,,19,2020-07-21 11:39:01,,,,0,0,0,5,1,"A. Michelson1, S. Yu2, A. Gupta2, AM Lai2, MH Kollef1, PRO Payne2; 1Pulmonary … Washington University in Saint Louis, Saint Louis, MO, United States, 2Institute for Informatics, Washington University in Saint Louis, Saint Louis, MO, United States … RATIONALE: Sepsis is the dysregulated …"
No,Preprint,No,No,Preprint (no publication available),1,2,"A Mitra, K Ashraf",Sepsis prediction and vital signs ranking in intensive care unit patients,2018,arXiv preprint arXiv:1812.06686,arxiv.org,https://arxiv.org/abs/1812.06686,"https://scholar.google.com/scholar?cites=11497658157168726965&as_sdt=2005&sciodt=0,5&hl=en",32,2020-07-21 11:39:01,,,,2,1,1,2,2,"Page 1. arXiv:1812.06686v3 [cs.LG] 6 Mar 2019 Sepsis Prediction and Vital Signs Ranking in Intensive Care Unit Patients … avipartho@gmail.com, khalid@semion.ai Abstract We study multiple rule-based and machine learning (ML) models for sepsis detection …"
No,Out of scope: Not ICU,No,No,Non-ICU population,1,0,"A Mohamed, H Ying, R Sherwin",Electronic-Medical-Record-Based Identification of Sepsis Patients in Emergency Department: A Machine Learning Perspective,2020,… International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9076997/,,61,2020-07-21 11:39:01,,,,0,0,0,3,1,… Keywords—Sepsis; detection; emergency department; machine learning; neural network; classification I. INTRODUCTION Sepsis is a major health concern with substantial impact on health care in the US [1]. It is common worldwide …
No,Out of scope: Pediatric,No,No,Pediatric population,1,4,"A Mohammed, Y Cui, VR Mas, R Kamaleswaran",Differential gene expression analysis reveals novel genes and pathways in pediatric septic shock patients,2019,Scientific reports,nature.com,https://www.nature.com/articles/s41598-019-47703-6,"https://scholar.google.com/scholar?cites=13719429360762504959&as_sdt=2005&sciodt=0,5&hl=en",308,2020-07-21 11:39:01,HTML,,,4,4,1,4,1,… High-throughput technologies support the analysis of gene expressions and also enable the ability to determined activity of these genes in different conditions 8 . Statistical testing and machine learning methods have been frequently used to successfully utilize omics data for …
No,Out of scope: Not about sepsis prediction,No,No,Out of scope: Astronauts,1,4,"A Popov, W Fink, C McGregor…",PHM for astronauts: Elaborating and refining the concept,2016,2016 IEEE Aerospace …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7500930/,"https://scholar.google.com/scholar?cites=16457759640704028190&as_sdt=2005&sciodt=0,5&hl=en",598,2020-07-21 11:39:01,,,,4,1,1,4,4,"… Big Data applications employ different techniques such as machine learning to build predictive models from data gathered … 13] C. McGregor, C. Catley, J. Padbury, and A. James, “Late onset neonatal sepsis detection in newborn infants via multiple physiological streams,” J. Crit …"
No ,Review,No,No,Review,1,0,"A Purcarea, S Sovaila","Sepsis, a 2020 review for the internist",2020,Romanian Journal of Internal …,content.sciendo.com,https://content.sciendo.com/view/journals/rjim/ahead-of-print/article-10.2478-rjim-2020-0012/article-10.2478-rjim-2020-0012.xml,,629,2020-07-21 11:39:01,,,,0,0,0,2,1,… outcomes. A 2019 machine learning based large retrospective study defines 4 different sepsis clinical phenotypes - alpha through … Page 19. Table 3. Three easy to use sepsis prediction scores (triage): The Systemic Inflammatory Response …
No,Out of scope: Not about sepsis prediction,No,No,Out of scope: Toxi shock,1,0,"A Ross, HW Shoff",Toxic Shock Syndrome,2017,,europepmc.org,https://europepmc.org/article/nbk/nbk459345,,302,2020-07-21 11:39:01,HTML,,,0,0,0,2,3,"… [Abstract: 29601458]. 14. McCoy A, Das R. Reducing patient mortality, length of stay and readmissions through machine learning-based sepsis prediction in the emergency department, intensive care unit and hospital floor units. BMJ Open Qual. 2017;6(2):e000158 …"
No,Review,No,No,Review,1,0,"A Scardoni, F Balzarini, C Signorelli, F Cabitza…",Artificial intelligence-based tools to control healthcare associated infections: A systematic review of the literature,2020,Journal of infection and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1876034120305001,,96,2020-07-21 11:39:01,HTML,,,0,0,0,5,1,"… current study is to collect and summarize the available evidence on the application and impact of Artificial Intelligence to HAIs … Private Sector, ICU, >15 y ICU patients, 22,853 ICU stays, 2001–2012, Retrospective cohort, Compare the machine learning sepsis prediction with existing …"
No,Patent,No,No,Patent,1,0,"A Sengupta, PA Prasad, SN Shukla, V Rajan…",System and method of modeling irregularly sampled temporal data using Kalman filters,2019,US Patent …,Google Patents,https://patents.google.com/patent/US10437944B2/en,,424,2020-07-21 11:39:01,,,,0,0,0,5,1,"… data. Description. FIELD OF THE INVENTION Embodiments are generally related to the field of machine learning … whole. It is, therefore, one aspect of the disclosed embodiments to provide a method and system for machine learning …"
No,Book chapter,No,No,"Book chapter, review-like",1,0,"A Shaban-Nejad, R Kamaleswaran, EK Shin…",Health intelligence,2020,Biomedical Information …,Elsevier,https://www.sciencedirect.com/science/article/pii/B9780128160343000067,,257,2020-07-21 11:39:01,,,,0,0,0,4,1,"… Sepsis prediction remains one of the major focus [119], [120], along with … 4] A. Shaban-Nejad, M. Michalowski, DL BuckeridgeHealth intelligence: how artificial intelligence transforms population … 11] C. Cortes, V. VapnikSupport-vector networks. Machine Learning (1995). Google …"
No,Not peer reviewed (Thesis),No,No,Out of scope: Pharmacology,1,0,A Sharafoddini,Toward Precision Medicine in Intensive Care: Leveraging Electronic Health Records and Patient Similarity,2019,,uwspace.uwaterloo.ca,https://uwspace.uwaterloo.ca/handle/10012/14726,,682,2020-07-21 11:39:01,,,,0,0,0,1,1,… derive insights from available health data to predict disease progression and provide recommendations to optimize patient outcomes. Predictive modeling utilizes statistical and machine learning methods to Page 26. 6 learn from …
No,"Not ICU (at least not defined, only: EHR)",No,No,"Duplicate, preprint",1,4,"A Subbaswamy, S Saria",Counterfactual normalization: Proactively addressing dataset shift and improving reliability using causal mechanisms,2018,arXiv preprint arXiv:1808.03253,arxiv.org,https://arxiv.org/abs/1808.03253,"https://scholar.google.com/scholar?cites=6507317742074392984&as_sdt=2005&sciodt=0,5&hl=en",442,2020-07-21 11:39:01,,,,4,2,2,2,2,"… Classical supervised machine learning methods for pre- diction problems assume that training and test data are independently and identically distributed … To illustrate, we consider a simplified3 cross-sectional version of the sepsis detection task using electronic health record …"
No,Duplicate,No,No,Out of scope: Sepsis classification task,1,15,"A Subbaswamy, S Saria",Counterfactual Normalization: Proactively Addressing Dataset Shift Using Causal Mechanisms.,2018,UAI,auai.org,http://auai.org/uai2018/proceedings/papers/334.pdf,"https://scholar.google.com/scholar?cites=5156470674775491841&as_sdt=2005&sciodt=0,5&hl=en",469,2020-07-21 11:39:01,PDF,,,15,7.5,8,2,2,… Supervised machine learning is concerned with predicting a target output label T from input features X. Classical learning frameworks assume that … We consider a simple cross-sectional version of the sepsis detection task as follows using electronic health record (EHR) data …
No,"Out of scope: Not about Sepsis onset prediction, but molecular biomarkers",No,No,Out of scope: Molecular biomarkers of sepsis,1,127,"A Sutherland, M Thomas, RA Brandon, RB Brandon…",Development and validation of a novel molecular biomarker diagnostic test for the early detection of sepsis,2011,Critical care,Springer,https://link.springer.com/article/10.1186/cc10274,"https://scholar.google.com/scholar?cites=1312206984066921375&as_sdt=2005&sciodt=0,5&hl=en",202,2020-07-21 11:39:01,HTML,,,127,14.11,25,5,9,"… Lab) was used to generate a diagnostic classifier using a LogitBoost machine learning algorithm [19] … demonstrated that the average area under the ROC curve for sepsis detection was approximately 92 … n = 7), the average area under the ROC curve for sepsis prediction in a …"
No,Not about sepsis prediction,No,No,Review,1,3,"A Teggert, H Datta, Z Ali",Biomarkers for Point-of-Care Diagnosis of Sepsis,2020,Micromachines,mdpi.com,https://www.mdpi.com/2072-666X/11/3/286,"https://scholar.google.com/scholar?cites=11316678586410691552&as_sdt=2005&sciodt=0,5&hl=en",661,2020-07-21 11:39:01,,,,3,3,1,3,1,"Sepsis is defined as a life-threatening organ dysfunction caused by a dysregulated host response to infection. In 2017, almost 50 million cases of sepsis were recorded worldwide and 11 million sepsis-related deaths were reported. Therefore, sepsis is the focus of intense research …"
No,Review,No,No,Review,1,0,A Thomas Homescu,Leveraging Big Data for Personalized Treatment of Anxiety and Depression: Review and Possible Future Directions,2018,… Big Data for Personalized Treatment of …,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3187926,,599,2020-07-21 11:39:01,,,,0,0,0,1,2,… 15 4.1.4 Artificial Intelligence . . . . . 16 4.2 Medical Applications of Deep Learning and Machine Learning . . . . . 17 4.3 Data Classification in medicine …
No,Review,No,No,Review,1,4,"A Vellido, V Ribas, C Morales, AR Sanmartín…",Machine learning for critical care: An overview and a sepsis case study,2017,… on Bioinformatics and …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-56148-6_2,"https://scholar.google.com/scholar?cites=2651610246635205093&as_sdt=2005&sciodt=0,5&hl=en",425,2020-07-21 11:39:01,,,,4,1.33,1,5,3,"… 2 Machine Learning and Computational Intelligence in Critical Care. ML, CI and, more in general, other advanced strategies for data analysis under the umbrella concept of Artificial Intelligence (AI) have of late demonstrated not just their promise, but their actual value in different …"
No,Duplicate,No,No,Duplicate,1,14,"A Vellido, V Ribas, C Morales, AR Sanmartín…",Machine learning in critical care: state-of-the-art and a sepsis case study,2018,Biomedical engineering …,Springer,https://link.springer.com/article/10.1186/s12938-018-0569-2,"https://scholar.google.com/scholar?cites=4831796003200081079&as_sdt=2005&sciodt=0,5&hl=en",472,2020-07-21 11:39:01,HTML,,,14,7,3,5,2,"… Applying Machine Learning and Computational Intelligence in critical care. ML, CI and other related methodologies for data analysis, commonly described under the umbrella term of Artificial Intelligence (AI) have, over the last decades, demonstrated real value as data analysis …"
No,Pediatric,No,No,Neonatal population,1,2,"A Värri, A Kallonen, E Helander, A Ledesma…",The Digi-NewB project for preterm infant sepsis risk and maturity analysis,2018,Finnish Journal of …,journal.fi,https://journal.fi/finjehew/article/view/69152,"https://scholar.google.com/scholar?cites=4803692216957860921&as_sdt=2005&sciodt=0,5&hl=en",240,2020-07-21 11:39:01,,,,2,1,0,5,2,… it is relatively straightforward for the developers to apply different machine learning methods for … Artificial intelligence has potential in detecting sepsis from preterm newborns but these hopes need to be … it would be too early to publish results of the sepsis detection parameter set …
No,Not peer reviewed (Thesis),No,No,Out of scope: Health Care Research,1,0,A Whitlock,Development and Evaluation of a Nurse Leader-Directed Code Sepsis Response Team,2019,,search.proquest.com,http://search.proquest.com/openview/64db7fadeafe1413893bbf0513c2bfff/1?pq-origsite=gscholar&cbl=18750&diss=y,,439,2020-07-21 11:39:01,BOOK,,,0,0,0,1,1,"… Quality improvement, which converted a twice a day nurse screening to a machine-learning algorithm that was integrated into the workflow, helped … SIRS criteria had a higher sensitivity, which can make this a better system for the prediction of sepsis (Fernando et al., 2018) …"
