Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
6,"Heather M. Giannini, Jennifer C. Ginestra, Corey Chivers, Michael Draugelis, Asaf Hanish, William D. Schweickert, Barry D. Fuchs, Laurie Meadows, Michael Lynch, Patrick J. Donnelly, Kimberly Pavan, Neil O. Fishman, III Hanson, C. William, Craig A. Umscheid","A Machine Learning Algorithm to Predict Severe Sepsis and Septic Shock: Development, Implementation, and Impact on Clinical Practice*",2019,"Critical Care Medicine","Lippincott Williams & Wilkins","","",10,"2020-08-04 13:36:23","Article","10.1097/CCM.0000000000003891","0090-3493","",47,11,1485,1492,6,6.00,1,14,1,"Objectives: Develop and implement a machine learning algorithm to predict severe sepsis and septic shock and evaluate the impact on clinical practice and patient outcomes. Design: Retrospective cohort for algorithm derivation and validation, pre-post impact evaluation. Setting: Tertiary teaching hospital system in Philadelphia, PA. Patients: All non-ICU admissions; algorithm derivation July 2011 to June 2014 (n = 162,212); algorithm validation October to December 2015 (n = 10,448); silent versus alert comparison January 2016 to February 2017 (silent n = 22,280; alert n = 32,184). Interventions: A random-forest classifier, derived and validated using electronic health record data, was deployed both silently and later with an alert to notify clinical teams of sepsis prediction. Measurement and Main Result: Patients identified for training the algorithm were required to have International Classification of Diseases, 9th Edition codes for severe sepsis or septic shock and a positive blood culture during their hospital encounter with either a lactate greater than 2.2 mmol/L or a systolic blood pressure less than 90 mm Hg. The algorithm demonstrated a sensitivity of 26% and specificity of 98%, with a positive predictive value of 29% and positive likelihood ratio of 13. The alert resulted in a small statistically significant increase in lactate testing and IV fluid administration. There was no significant difference in mortality, discharge disposition, or transfer to ICU, although there was a reduction in time-to-ICU transfer. Conclusions: Our machine learning algorithm can predict, with low sensitivity but high specificity, the impending occurrence of severe sepsis and septic shock. Algorithm-generated predictive alerts modestly impacted clinical measures. Next steps include describing clinical perception of this tool and optimizing algorithm design and delivery."
0,"Jose Lucas de Alencar Saraiva, Marcus Henrique Victor Junior, Otavio Monteiro Becker Junior, Visakan Kadirkamanathan, Eliezer Silva, Karl Heinz Kienitz","Sepsis Patient Outcome Prediction Using Machine Learning",2019,"Xxvi Brazilian Congress On Biomedical Engineering, Cbeb 2018, Vol 1","Springer-Verlag Singapore Pte Ltd","","",24,"2020-08-04 13:36:23","Proceedings Paper","10.1007/978-981-13-2119-1_123","1680-0737","",70,1,795,799,0,0.00,0,6,1,"Sepsis is a life-threatening response of the body to infection that often leads to death. In Brazil, hundreds of thousands of deaths occur every year, with a mortality rate higher than the world average. In this context, it is important to develop tools for decision support and training of healthcare professionals. This work discusses a modelling for sepsis that may be instrumental for achieving such goals. Machine learning is used to train a model for prognosis of outcome of septic patients. The inputs of the model include information about the patient sepsis, previous clinical records and treatment variables. The results show that high accuracy can be achieved and that the network is able to really map patients in two highly distinct groups of risk (survival and fatal outcome), under certain conditions."
0,"Luciana Schleder Goncalves, Maria Luiza de Medeiros Amaro, Andressa de Lima Miranda Romero, Fernanda Karoline Schamne, Jacson Luiz Fressatto, Carolina Wrobel Bezerra","Implementation of an Artificial Intelligence Algorithm for sepsis detection",2020,"Revista Brasileira De Enfermagem","Assoc Brasileira Enfermagem","","",22,"2020-08-04 13:36:23","Article","10.1590/0034-7167-2018-0421","0034-7167","",73,3,,,0,0.00,0,6,1,"Objectives: to present the nurses' experience with technological tools to support the early identification of sepsis. Methods: experience report before and after the implementation of artificial intelligence algorithms in the clinical practice of a philanthropic hospital, in the first half of 2018. Results: describe the motivation for the creation and use of the algorithm; the role of the nurse in the development and implementation of this technology and its effects on the nursing work process. Final Considerations: technological innovations need to contribute to the improvement of professional practices in health. Thus, nurses must recognize their role in all stages of this process, in order to guarantee safe, effective and patient-centered care. In the case presented, the participation of the nurses in the technology incorporation process enables a rapid decision-making in the early identification of sepsis."
13,"Md. Mohaimenul Islam, Tahmina Nasrin, Bruno Andreas Walther, Chieh-Chen Wu, Hsuan-Chia Yang, Yu-Chuan Li (Jack)","Prediction of sepsis patients using machine learning approach: A meta-analysis",2019,"Computer Methods And Programs In Biomedicine","Elsevier Ireland Ltd","","",7,"2020-08-04 13:36:23","Article","10.1016/j.cmpb.2018.12.027","0169-2607","",170,,1,9,13,13.00,2,6,1,"Study objective: Sepsis is a common and major health crisis in hospitals globally. An innovative and feasible tool for predicting sepsis remains elusive. However, early and accurate prediction of sepsis could help physicians with proper treatments and minimize the diagnostic uncertainty. Machine learning models could help to identify potential clinical variables and provide higher performance than existing traditional low-performance models. We therefore performed a meta-analysis of observational studies to quantify the performance of a machine learning model to predict sepsis."
0,"O. Metsker, M. Aybazova, E. Kondratyeva, N. Dryagina, A. Kondratev, E. Efimov","Sepsis prediction using machine-learning methods: prolonged disorders of consciousness patients",2019,"Journal Of The Neurological Sciences","Elsevier","","",17,"2020-08-04 13:36:23","Meeting Abstract","10.1016/j.jns.2019.10.1719","0022-510X","",405,,,,0,0.00,0,6,1,""
7,"Omar K. Danner, Sandra Hendren, Ethel Santiago, Brittany Nye, Prasad Abraham","Physiologically-based, predictive analytics using the heart-rate-to-Systolic-Ratio significantly improves the timeliness and accuracy of sepsis prediction compared to SIRS",2017,"American Journal Of Surgery","Excerpta Medica Inc-Elsevier Science Inc","","",8,"2020-08-04 13:36:23","Article","10.1016/j.amjsurg.2017.01.006","0002-9610","",213,4,617,621,7,2.33,1,5,3,"Background: Enhancing the efficiency of diagnosis and treatment of severe sepsis by using physiologically-based, predictive analytical strategies has not been fully explored. We hypothesize assessment of heart-rate-to-systolic-ratio significantly increases the timeliness and accuracy of sepsis prediction after emergency department (ED) presentation."
33,"Qingqing Mao, Melissa Jay, Jana L. Hoffman, Jacob Calvert, Christopher Barton, David Shimabukuro, Lisa Shieh, Uli Chettipally, Grant Fletcher, Yaniv Kerem, Yifan Zhou, Ritankar Das","Multicentre validation of a sepsis prediction algorithm using only vital sign data in the emergency department, general ward and ICU",2018,"Bmj Open","Bmj Publishing Group","","",5,"2020-08-04 13:36:23","Article","10.1136/bmjopen-2017-017833","2044-6055","",8,1,,,33,16.50,3,12,2,"Objectives We validate a machine learning-based sepsis-prediction algorithm (InSight) for the detection and prediction of three sepsis-related gold standards, using only six vital signs. We evaluate robustness to missing data, customisation to site-specific data using transfer learning and generalisability to new settings."
0,"Sanjeet Dadwal, Zahra Eftekhari, Tushondra Thomas, Deron Johnson, Dongyun Yang, Sally Mokhtari, Liana Nikolaenko, Janet Munu, Ryotaro Nakamura","A Machine-Learning Sepsis Prediction Model for Patients Undergoing Hematopoietic Cell Transplantation",2018,"Blood","Amer Soc Hematology","","",18,"2020-08-04 13:36:23","Meeting Abstract","10.1182/blood-2018-99-117002","0006-4971","",132,,,,0,0.00,0,9,2,""
87,"Shamim Nemati, Andre Holder, Fereshteh Razmi, Matthew D. Stanley, Gari D. Clifford, Timothy G. Buchman","An Interpretable Machine Learning Model for Accurate Prediction of Sepsis in the ICU",2018,"Critical Care Medicine","Lippincott Williams & Wilkins","","",1,"2020-08-04 13:36:23","Article","10.1097/CCM.0000000000002936","0090-3493","",46,4,547,553,87,43.50,15,6,2,"Objectives: Sepsis is among the leading causes of morbidity, mortality, and cost overruns in critically ill patients. Early intervention with antibiotics improves survival in septic patients. However, no clinically validated system exists for real-time prediction of sepsis onset. We aimed to develop and validate an Artificial Intelligence Sepsis Expert algorithm for early prediction of sepsis."
0,"Shigehiko Schamoni, Holger A. Lindner, Verena Schneider-Lindner, Manfred Thiel, Stefan Riezler","Leveraging implicit expert knowledge for non-circular machine learning in sepsis prediction",2019,"Artificial Intelligence In Medicine","Elsevier","","",23,"2020-08-04 13:36:23","Article","10.1016/j.artmed.2019.101725","0933-3657","",100,,,,0,0.00,0,5,1,"Sepsis is the leading cause of death in non-coronary intensive care units. Moreover, a delay of antibiotic treatment of patients with severe sepsis by only few hours is associated with increased mortality. This insight makes accurate models for early prediction of sepsis a key task in machine learning for healthcare. Previous approaches have achieved high AUROC by learning from electronic health records where sepsis labels were defined automatically following established clinical criteria. We argue that the practice of incorporating the clinical criteria that are used to automatically define ground truth sepsis labels as features of severity scoring models is inherently circular and compromises the validity of the proposed approaches. We propose to create an independent ground truth for sepsis research by exploiting implicit knowledge of clinical practitioners via an electronic questionnaire which records attending physicians' daily judgements of patients' sepsis status. We show that despite its small size, our dataset allows to achieve state-of-the-art AUROC scores. An inspection of learned weights for standardized features of the linear model lets us infer potentially surprising feature contributions and allows to interpret seemingly counterintuitive findings."
1,"Sidney Le, Jana Hoffman, Christopher Barton, Julie C. Fitzgerald, Angier Allen, Emily Pellegrini, Jacob Calvert, Ritankar Das","Pediatric Severe Sepsis Prediction Using Machine Learning",2019,"Frontiers In Pediatrics","Frontiers Media Sa","","",13,"2020-08-04 13:36:23","Article","10.3389/fped.2019.00413","2296-2360","",7,,,,1,1.00,0,8,1,"Background: Early detection of pediatric severe sepsis is necessary in order to optimize effective treatment, and new methods are needed to facilitate this early detection."
0,"Simon Meyer Lauritsen, Mads Ellersgaard Kalor, Emil Lund Kongsgaard, Katrine Meyer Lauritsen, Marianne Johansson Jorgensen, Jeppe Lange, Bo Thiesson","Early detection of sepsis utilizing deep learning on electronic health record event sequences",2020,"Artificial Intelligence In Medicine","Elsevier","","",25,"2020-08-04 13:36:23","Article","10.1016/j.artmed.2020.101820","0933-3657","",104,,,,0,0.00,0,7,1,"Background: The timeliness of detection of a sepsis incidence in progress is a crucial factor in the outcome for the patient. Machine learning models built from data in electronic health records can be used as an effective tool for improving this timeliness, but so far, the potential for clinical implementations has been largely limited to studies in intensive care units. This study will employ a richer data set that will expand the applicability of these models beyond intensive care units. Furthermore, we will circumvent several important limitations that have been found in the literature: (1) Model evaluations neglect the clinical consequences of a decision to start, or not start, an intervention for sepsis. (2) Models are evaluated shortly before sepsis onset without considering interventions already initiated. (3) Machine learning models are built on a restricted set of clinical parameters, which are not necessarily measured in all departments. (4) Model performance is limited by current knowledge of sepsis, as feature interactions and time dependencies are hard-coded into the model."
25,"Supreeth P. Shashikumar, Matthew D. Stanley, Ismail Sadiq, Qiao Li, Andre Holder, Gari D. Clifford, Shamim Nemati","Early sepsis detection in critical care patients using multiscale blood pressure and heart rate dynamics",2017,"Journal Of Electrocardiology","Churchill Livingstone Inc Medical Publishers","","",6,"2020-08-04 13:36:23","Article","10.1016/j.jelectrocard.2017.08.013","0022-0736","",50,6,739,743,25,8.33,4,7,3,"Sepsis remains a leading cause of morbidity and mortality among intensive care unit (ICU) patients. For each hour treatment initiation is delayed after diagnosis, sepsis-related mortality increases by approximately 8%. Therefore, maximizing effective care requires early recognition and initiation of treatment protocols. Antecedent signs and symptoms of sepsis can be subtle and unrecognizable (e.g., loss of autonomic regulation of vital signs), causing treatment delays and harm to the patient. In this work we investigated the utility of high-resolution blood pressure (BP) and heart rate (HR) times series dynamics for the early prediction of sepsis in patients from an urban, academic hospital, meeting the third international consensus definition of sepsis (sepsis-III) during their ICU admission. Using a multivariate modeling approach we found that HR and BP dynamics at multiple time-scales are independent predictors of sepsis, even after adjusting for commonly measured clinical values and patient demographics and comorbidities. Earlier recognition and diagnosis of sepsis has the potential to decrease sepsis-related morbidity and mortality through earlier initiation of treatment protocols. (C) 2017 Elsevier Inc. All rights reserved."
70,"Thomas Desautels, Jacob Calvert, Jana Hoffman, Melissa Jay, Yaniv Kerem, Lisa Shieh, David Shimabukuro, Uli Chettipally, Mitchell D. Feldman, Chris Barton, David J. Wales, Ritankar Das","Prediction of Sepsis in the Intensive Care Unit With Minimal Electronic Health Record Data: A Machine Learning Approach",2016,"Jmir Medical Informatics","Jmir Publications, Inc","","",3,"2020-08-04 13:36:23","Article","10.2196/medinform.5909","2291-9694","",4,3,67,81,70,17.50,7,12,4,"Background: Sepsis is one of the leading causes of mortality in hospitalized patients. Despite this fact, a reliable means of predicting sepsis onset remains elusive. Early and accurate sepsis onset predictions could allow more aggressive and targeted therapy while maintaining antimicrobial stewardship. Existing detection methods suffer from low performance and often require time-consuming laboratory test results."
1,"Zina M. Ibrahim, Honghan Wu, Ahmed Hamoud, Lukas Stappen, Richard J. B. Dobson, Andrea Agarossi","On classifying sepsis heterogeneity in the ICU: insight using machine learning",2020,"Journal Of The American Medical Informatics Association","Oxford Univ Press","","",12,"2020-08-04 13:36:23","Article","10.1093/jamia/ocz211","1067-5027","",27,3,437,443,1,1.00,0,6,1,"Objectives: Current machine learning models aiming to predict sepsis from electronic health records (EHR) do not account 20 for the heterogeneity of the condition despite its emerging importance in prognosis and treatment. This work demonstrates the added value of stratifying the types of organ dysfunction observed in patients who develop sepsis in the intensive care unit (ICU) in improving the ability to recognize patients at risk of sepsis from their EHR data."
