,Trial Design,,,,,,,,Demographics,,,,,,Software & Data,,,,,ML Details,,,,,,,,,,
Calvert 2016,MIMIC-II,Retrospective,"offline training, horizon evaluation",Sepsis-2 related,Sepsis-2 related: ICD9 code 995.9 and a 5h persisting window of fulfilled SIRS,NA,Yes,"medical ICU, age > 18 years, SIRS not fulfilled upon admission, measurements for set of 9 variables available",159,1235,11.40,NA,NA,NA,No,No,No,No,No,InSight Algorithm,Regression score based on correlation features,Early prediction at 3 hours before onset: AUROC,0.92,3,No,forward filling,"Demographics, labs, vitals ",9,No,
Moor 2019,MIMIC-III,Retrospective,"offline training, horizon evaluation",Sepsis-3 ,Sepsis-3 ,absolute onset matching,Yes,"age >= 15 years, chart data including ICU admission/discharge time available, Metavision logging, cases: onset at least 7 hours into ICU stay",570,5618,9.20,67.2 / 64.2 (mean),41.4 / 45.4,27.9 / 28,Yes,Yes,Yes,Yes,yes,MGP-TCN ,Gaussian process adapter with TCN classifier,"Early prediction horizon: AUPRC, AUROC",0.91,0,No,MGP adapter,"Labs, vitals",44,No,
Scherpf 2019,MIMIC-III,Retrospective,"offline training, horizon evaluation",Sepsis-2 related,Sepsis-2 related: ICD-9 codes plus SIRS criteria,random onset matching via drawing fixed size time windows,Yes,"age >= 18 years, at least one measurement for SIRS parameters, no sepsis on admission, at least 5 hours plus prediction time of measurements",2724,32790,7.67,NA,NA,NA,No,No,No,No,No,RNN-GRU,RNN with GRU as hidden layers,"AUROC at different horizons: 3, 6, 12 hours before onset",0.81,3,No,"forward filling, mean imputation","Labs, vitals",10,No,
Reyna 2020,"Emory University Hospital, MIMIC-III",Retrospective,"online training, online evaluation",Sepsis-3 (modified time windows),Sepsis-3 (with modified time windows),NA,Yes,>= 8 hours of measurements,2932,37404,7.27,NA,NA,NA,Yes,No,No,No,No,NA,not applicable,AUROC and clinical utility score,NA,NA,Yes,NA,"Demographics, labs, vitals ",40,,
Mao 2018,"MIMIC-III, UCSF",Retrospective,"offline training, offline evaluation (single fixed 4-hour horizon)",Sepsis-2 related,"Sepsis-2 related (suspected infection and first hour of fulfilled SIRS criteria), Severe Sepsis: ICD-9 plus SIRS plus organ dysfunction criteria; Septic Shock: ICD-9 plus manually-defined conditions",NA,Yes,"inpatients, age >= 18 years, >= 1 observations for each vital sign measurement, prediction time between 7 and 2000 hours",1965,19639,9.10,65 (median),43.97,NA,Yes,No,No,No,No,InSight Algorithm,Regression score based on correlation features,AUROC at 4 hours before onset; specificity at 80% sensitivity level,0.92,0,Yes,forward filling,Vitals,30,No,
Lauritsen 2020,Danish EHR,Retrospective,"offline training, horizon evaluation",Sepsis-2 related,Sepsis-2 related: SIRS criteria plus clinically suspected infection ,random onset matching (excluding the first and last three hours),Yes,"inpatients, admissions >= 3 hours, hospital departments with sepsis prevalence >= 2%, >=1 observations for each vital sign measurement ",NA,NA,NA,NA,NA,NA,No,No,No,No,No,CNN-LSTM,Conventional CNN architecture (15 layers),"AUROC and mean average precision at multiple horizons; ROC curves, PR curves",0.88,0.25,No,NA,"Diagnoses, labs, imaging, medications, vitals, procedures",NA,No,
Nemati 2018,"Emory Healthcare system, MIMIC-III",Retrospective,"offline training, horizon evaluation",Sepsis-3 (modified time windows) ,Sepsis-3 (with modified time windows) ,NA,Yes,age >= 18 years; sepsis onset not earlier than 4 hours within ICU admission,2375,25152,8.63,NA,52.4,NA,No,No,No,No,No,Weilbull-Cox proportional hazards model,Bayesian optimisation of a cumulative hazard rate,"AUROC at different horizons: 4, 6, 8, 12 hours before onset; specificity and accuracy at 85% sensitivity level",0.85,4,Yes,NA,"Demographics, vitals",48,No,
Schamoni 2019,University Medical Centre Mannheim,Retrospective,"offline training, offline prediction of severity (ordinal regression)",Sepsis tag by ICU clinicians ,Sepsis tag by ICU clinicians via electronic questionnaire ,NA,Yes,sepsis onset not earlier than on the second day after ICU admission,200,420,32.26,63 (median),43.39,NA,No,No,No,No,No,Non-linear ordinal regression,"SGD, hinge loss error","AUROC at different horizons: 4, 8, 12, 24 hours before onset",0.84,4,No,forward filling,"Comorbidities, demographics, labs, vitals",55,Yes,Different label definitions plus auxiliary tasks to prevent circularity
Shashikumar 2017a,Emory Healthcare system,Retrospective,"offline training, offline prediction (single fixed 4-hour horizon)",Sepsis-3,Sepsis-3,NA,No,NA,242,858,22.00,59 (median),47,NA,No,No,No,No,No,ElasticNet,Logistic regression with ElasticNet regularisation,AUROC at 4 hours before onset; specificity and accuracy at 85% sensitivity level,0.78,4,No,mean imputation,"Comorbidities, clinical context, demographics, vitals ",17,No,
Shashikumar 2017b,Emory Healthcare system,Retrospective,"offline training, offline prediction (single fixed 4-hour horizon)",Sepsis-3,Sepsis-3,NA,No,NA,100,150,40.00,63 (median),48.8,NA,No,No,No,No,No,SVM,SVM based on network features (phase-space dynamics) and time series features ,AUROC at 4 hours before onset; specificity and accuracy at 85% sensitivity level,0.8,4,No,NA,"Demographics, comorbidity, clinical context, vitals",2,No,
Desautels 2016,MIMIC-III,Retrospective,"offline training, horizon evaluation, but retrained for each prediction horizon",Sepsis-3,Sepsis-3,NA,Yes,"age >= 15 years, any measurements present, Metavision logging, for cases: sepsis onset between 7 and 500 hours after ICU admission, all variables at least once measured, excluded patients that received ABx before ICU",1840,17214,9.66,65 (median),43.85,NA,No,No,No,No,No,InSight Algorithm,Regression score based on correlation features,"Early prediction horozon 0-4 hours before onset: AUROC, AUPRC. Robustness w.r.t. dropping out input data",0.88,0,No,"forward filling, then backward filling","Demographics, vitals",8,No,
Abromavicius 2020,"Emory University Hospital, MIMIC-III",Retrospective,"online training, online evaluation",Sepsis-3 (with modified time windows),Sepsis-3 (with modified time windows),NA,NA,NA,2932,37404,7.27,NA,NA,NA,Yes,No,No,No,No,AdaBoost and Discriminant Subspace Learning ,Two-stage ensemble method,"AUROC, F-measure, Utility score (all on separate data set)",NA,NA,No,removal,"Demographics, labs, vitals ",11,No,
Lukaszewski 2008,Queen Alexandra Hospital,Retrospective,"offline training, offline evaluation (fixed 24-hour horizon)",Sepsis-2 related,Sepsis-2 related: SIRS criteria plus positive microbiological culture,NA (but age-matching between cases and controls; healthy volunteers used as controls),Yes,blood samples taken daily; last sample on day of diagnosis or last stay in ICU,25,22,53.19,65,15.22%,NA,No,No,No,No,No,MLP,Single-layer MLP with 5 hidden units,"accuracy, PPV, NPV",NA,NA,No,NA,"Clinical parameters, cytokine mRNA expression",NA,No,
